Kind,ID,calories,carbohydrate,fat,protein,vitamine,vta,vtc,vte,carotene,thiamine,riboflavin,yansuan,cholesterol,mg,ca,iron,zinc,copper,mn,k,p,na,se
1,3340,41.61,1.25,4.24,0.64,0.7,0.1,0.39,0,0,0,0.02,0.42,0,2.53,1.23,0.08,0.14,0.03,0.06,5.75,11.48,198.55,0.55
1,3341,152.97,5.07,14.46,2.76,2.12,207.56,31.62,7.03,1243.94,0.02,0.08,1.26,0,14.24,21.66,2.49,0.68,0.16,0.5,111.33,53.21,391.58,1.48
1,3342,84.15,9.83,4.39,3.29,1.51,9.36,0.95,0.01,56.24,0.05,0.07,0.79,0,5.72,37.87,2.3,0.3,0.05,0.21,92.7,56.67,1594.31,0.7
1,3343,58.33,6.27,3.82,2.49,2.77,1.7,2.58,0.48,10.18,0.02,0.03,0.23,0,8.74,11.88,0.79,0.21,0.05,0.19,60.16,28.08,296.93,0.35
1,3344,82.42,11.23,3.63,1.75,0.98,3.57,30.87,0.72,8.59,0.07,0.03,0.37,0,18.86,39.95,1.39,0.26,0.09,0.93,196.32,50.04,271.81,0.61
1,3345,98.3,4.54,8.93,0.92,1.07,13.39,7.9,4.13,79.85,0.02,0.03,0.22,0,15.8,28.11,0.88,0.3,0.07,0.27,105.51,26.45,209.65,0.38
1,3346,219.82,33.09,7.14,13.78,7.42,7.82,1.13,0.82,3.96,0.05,0.09,1.78,54.78,37.38,46.09,3.73,1.94,0.35,0.58,446.2,209.03,372.56,7.2
1,3347,391.24,2.33,42.7,0.92,1.57,1.07,1.7,26.06,4.45,0,0.01,0.09,0,4.57,10.73,2.38,0.36,0.1,0.15,15.73,15.52,397.05,0.39
1,3348,264.59,36.92,21.76,17.66,31.58,1.5,0.3,14.84,0,0.05,0.93,0.28,0,39.45,25.78,52.54,4.39,6.54,2.02,171.83,118.61,477.04,60.56
1,3349,257.57,5.12,2.34,54.14,0.02,12.94,0.34,1.49,13.59,0,0.2,2.43,337.86,103.25,76.46,5.47,4.91,0.1,0.43,943.24,489.75,705.71,74.16
1,3350,127.01,6.32,11.23,2.98,2.87,36.05,16.31,6.66,214.59,0.07,0.08,1.23,0,29.6,24.82,0.76,0.67,0.14,0.6,119.62,61.45,374.65,0.65
1,3351,129.34,15.25,3.99,9.24,1.41,103.69,6.84,0.37,621.76,0.02,0.05,0.26,0,40,145.7,2.72,0.93,0.35,0.74,128.75,126.18,419.23,0.23
1,3352,37.32,6.06,1.26,1.13,0.83,137.94,9.26,0.37,819.02,0.03,0.05,0.43,0,10.44,16.98,0.74,0.17,0.05,0.11,155.8,26.31,478.69,0.66
1,3353,107.1,6.12,7.59,4.33,0.74,11.57,0.89,3.76,71.17,0.07,0.07,0.54,0,1.47,21.18,0.55,0.1,0.02,0.08,2.02,55.07,106.78,0.1
1,3354,97.42,6.72,2.76,11.51,0.58,88.36,1.26,1.44,3.57,0.05,0.1,2.17,63.66,13.43,50.34,2,1.52,0.1,0.14,173.94,76.66,557.42,9.68
1,3355,77.42,2.36,6.18,3.32,0.57,4.44,0,0.08,0,0.02,0.08,13.47,20.2,18.41,102.62,0.75,0.25,0.08,0.05,56.28,12.86,376.81,2.37
1,3356,135.91,4.52,11.65,4.48,1.43,10.72,0.75,0.92,32.25,0.02,0.02,0.21,20.66,13.25,60.7,0.55,0.19,0.05,0.12,43.84,18.44,240.71,1.48
1,3357,143.4,6.27,4.06,21.78,0.24,64.75,8.38,0.32,333.57,0.01,0.15,1.01,30.04,5.25,23.47,1.56,0.53,0.03,0.1,51.7,77.66,261.26,4.5
1,3358,526.99,8.14,55.05,2.02,2.11,0.69,0.77,30.12,2.5,0.01,0.04,0.12,0,11.35,50.62,5.67,0.37,0.14,0.26,30.4,13.64,91.49,0.67
1,3359,142.83,11.73,2.7,18.04,0.23,32.68,0,0.43,0,0.07,0.31,5.15,128.27,16.35,49.42,1.95,1.13,0.19,0.1,210.67,149.02,185.04,10.04
1,3360,114.97,3.97,10.5,13.51,0.06,3.71,0.65,1.33,4.24,0.01,0.01,0.26,9.79,12.03,34.46,1.91,0.14,0.01,0.1,33.04,128.12,413.05,0.19
1,3361,435.4,2.09,47.13,2.99,0.15,8.77,1.98,19.75,0,0.01,0.03,0.16,29.97,13.4,81.66,1.49,0.3,0.07,0.08,35.35,11.04,313.12,2.16
1,3362,213.25,1.06,17.05,13.96,0.12,46.67,0.32,0.24,9.87,0.08,0.2,3.71,81.27,12.7,8.52,1.94,1.16,0.18,0.08,168.96,112.2,219.08,10.61
1,3363,159.78,2.68,13.09,8.59,0.77,140.17,9.22,1.35,817.04,0.04,0.14,0.99,33.41,25.97,26.3,1.68,0.74,0.12,0.24,205.03,58.89,320.24,6.43
1,3364,132.07,6.15,12.63,1.02,1.42,14.98,46.77,1.94,87.45,0.03,0.03,0.35,0,16.22,18.02,0.68,0.32,0.06,0.17,216.59,30.31,242.94,0.33
1,3365,101.47,6.14,5.68,7.43,1.03,12.85,41.18,15.76,75.64,0.02,0.02,0.3,0,13.42,11.4,0.57,0.28,0.05,0.14,189.76,26.43,394.15,0.29
1,3366,92.58,2.85,6.12,7.43,0.89,200.33,30.38,3.57,1200,0.04,0.07,0.64,22.92,12.48,21.59,6,0.51,0.15,0.4,130.75,39.54,317.32,4.1
1,3367,50.53,5.22,3.33,0.85,0.98,127.72,16.35,1.2,767.63,0.03,0.04,0.4,2.05,8.87,16.07,0.49,0.16,0.04,0.09,149.85,24.56,203.23,0.47
1,3368,319.31,44.61,5.78,22.51,7.02,0.32,0.04,3.25,1.96,0.48,0.06,0.18,3.2,87.78,14.88,2.06,2.23,2.12,0.89,184.01,429.26,897.99,0.79
1,3369,196.32,33.83,3.87,7.19,2.76,69.73,3.84,5.12,397.63,0.07,0.06,0.9,0,49.17,34.65,3.38,0.91,0.39,0.55,360.76,110.5,401.23,1.69
1,3370,293.06,30.33,13.01,13.74,4.96,20.49,0.93,6.11,2.33,0.34,0.13,2.33,21.66,75.58,56.98,3.55,1.69,0.26,0.66,489.8,181.25,520.53,3.76
1,3371,86.23,4.92,7.38,1.42,1.4,22.73,52,0.78,134.55,0.03,0.03,0.39,0,15.91,14.16,0.66,0.31,0.07,0.15,224.33,31.5,377.13,0.39
1,3372,232.23,3.96,21.45,6.94,1.2,45.21,1.4,3.48,18.16,0.04,0.19,2.12,53.83,23.69,13.8,3.98,2.04,0.31,0.12,357.46,159.36,479.72,10.66
1,3373,191.08,9.72,10.08,15.62,0.24,60.98,0.17,3.08,1.09,0.09,0.12,3.45,34.44,11.96,24.55,1.85,1.02,0.12,0.08,198.94,123.64,313.78,9.21
1,3374,471.81,13.9,48.16,4.22,8.52,11.33,12.03,28.3,67.04,0.11,0.07,0.46,0,38.62,16.72,3.55,1.93,0.23,2.43,276.58,79.86,374.42,0.62
1,3375,173.48,12.02,12.82,10.19,7.05,13.44,11.44,2.2,10.21,0.1,0.07,1.17,78.83,67.84,95.84,3.2,1.99,0.52,2.05,333.56,163.82,1403.77,11.69
1,3376,138.01,10.17,11.41,2.09,3.45,14.89,38.28,5,87.95,0.05,0.04,0.44,0,23.99,18.52,1.33,0.85,0.12,0.83,270.91,55.36,499.87,0.61
1,3377,112.01,5.75,3.1,15.79,0.54,21.11,1.7,6.3,40.02,0.04,0.26,2.91,69.07,76.46,336.28,5.36,3.46,0.58,0.52,229.67,121.34,512.61,24.45
1,3378,142.72,8.94,11.61,1,0.68,117.47,6.48,6.74,705.67,0.03,0.04,0.35,0.15,8.39,15.05,0.86,0.2,0.05,0.1,122.93,22.35,64.2,0.45
1,3379,373.8,38.72,20.95,9.77,0.29,61.28,0.59,0.57,0,0.07,0.12,0.07,0,3.28,26.51,0.62,0.47,0.15,0.06,91.9,38.12,325.49,4.3
1,3380,246.05,55.81,0.55,6.05,1.52,48.62,4.97,1.06,291.72,0.11,0.08,1.06,0,28.65,18.4,1.11,1.1,0.16,1.25,121.65,91.33,545.56,2.04
1,3381,156.37,1.61,13.42,7.58,0.33,160.12,6.27,1.08,571.8,0.07,0.15,1.16,71.54,18.16,32.94,1.62,0.97,0.09,0.18,124.2,72.39,419.67,12.79
1,3382,77.24,5.58,4.01,5.47,0.89,7.41,18.47,0.87,31.72,0.02,0.04,0.89,0,44.45,44.6,1.04,0.41,0.07,0.11,183.16,44.5,253.13,6.29
1,3383,509.99,3.69,54.01,4.91,0.33,13.09,0.24,29.41,14.11,0.08,0.04,2.13,28.21,10.62,11.57,2.72,0.81,0.11,0.14,56.88,35.12,654.73,0.74
1,3384,252.42,3.61,20.72,13.2,0.31,51.71,12.71,3.54,7.75,0.05,0.28,2.13,38.62,33.98,179.33,1.31,2.06,0.07,0.1,212.17,146.3,810.69,12.95
1,3385,274.27,43.31,10.85,2.11,0.4,1.46,2.44,0.12,9.76,0.03,0.01,0.24,0,10.98,14.15,0.62,0.15,0.13,0.08,105.77,20.57,9.68,0.33
1,3386,108.9,13.32,5.49,2.07,0.57,40,6.12,0.68,61.22,0.04,0.04,0.14,102.72,22.58,38.38,1.75,1.23,0.1,0.24,77.47,33.63,330.45,2.4
1,3387,181.82,8.31,13.75,6.43,0.52,57.44,0.97,8.14,1.87,0.04,0.07,0.46,25.67,28.98,160.71,2.01,0.59,0.11,0.64,70.87,45.89,485.36,5.46
1,3388,212.4,11.67,12.85,12.42,0.12,13.53,0,0.82,0,0.08,0.17,2.45,34.48,13.73,15.26,1.68,0.63,0.12,0.07,182.16,77.34,267.94,6.86
1,3389,107.47,2.27,10.41,14.04,0.89,4.51,0.09,0.21,0.13,0.03,0.02,0.71,15.37,5.57,29.06,1.56,0.39,0.03,0.21,36.41,127.5,327.39,1.35
1,3390,102.69,2.57,2.1,18.84,0.43,62.64,1.35,0.44,229.21,0.11,0.11,5.55,55.19,18.27,13.86,2.1,1.27,0.14,0.09,282.78,161.77,249.19,10.56
1,3391,93.26,6.39,5.65,4.95,0.72,13.4,1.04,0.29,70.47,0.07,0.08,0.7,19.51,8.65,36.44,0.52,0.13,0.07,0.05,21.9,70.3,315.05,2.21
1,3392,207.95,9.83,15.82,7.65,0.06,40.01,0.8,0.43,0.94,0.05,0.1,1.43,28.94,10.88,55.15,0.83,0.57,0.08,0.05,138.45,81.66,166.1,4.13
1,3393,100,1.78,3.64,15.08,0,11.78,0,1.59,0,0.06,0.12,2.8,85.59,12.71,59.32,2.37,1.96,0.1,0.04,166.1,96.61,82.12,12.87
1,3394,95.18,2.25,4.12,12.41,0.18,109.24,0.6,0.64,13.68,0.22,0.12,2.38,68.45,19.66,100.34,11.26,3.47,0.09,22.25,133.9,197.83,390.63,11.12
1,3395,16.49,1.12,0.13,2.81,0.09,23.29,0.13,0.22,5.38,0.01,0.05,0.48,49.75,14.72,52.16,12.82,0.78,0.15,0.84,62.77,44.08,813.68,20.98
1,3396,275.72,53.83,3.42,9.96,2.59,5.24,0.56,1,22.99,0.01,0.03,1.23,17.14,9.48,8.65,0.96,1.02,0.05,0.25,70.7,39.42,96.74,1.39
1,3397,160.53,6.4,11.5,9.28,1.55,50.5,1.81,1.76,284.78,0.15,0.11,2.44,69.22,18.41,36.98,1.77,1.77,0.13,0.32,185.25,84.8,235.59,9
1,3398,16.62,3.57,0.2,0.84,0.69,12.38,17.15,0.11,76.18,0.01,0.01,0.33,0,11.11,20.92,0.4,0.12,0.07,0.06,88.43,18.47,378.86,0.33
1,3399,97.91,0.33,3.14,17.13,0.09,18.22,0.54,0.7,3.12,0.03,0.16,2.87,78.9,35.29,128.1,1.89,2.62,0.05,0.11,197.58,223.52,493.26,30.37
1,3400,283.09,10.4,21.91,11.51,1.38,15.25,13.27,0.7,27.53,0.21,0.11,2.17,47.06,25.27,9.58,1.32,1.62,0.37,0.23,208.77,164.26,658.7,7.25
1,3401,79.48,0.14,3.64,11.61,0.04,8.07,0.06,1.42,2.37,0.03,0.08,1.97,60.06,22.28,27.1,0.59,0.61,0.04,0.08,222.11,142.11,361.75,4.67
1,3402,143.7,5.47,13.15,3.06,2.17,37.37,6.65,5.03,66.52,0.02,0.08,1.32,0,9.83,11.2,0.88,0.6,0.12,0.21,57.33,52.51,205.08,3.22
1,3403,149.36,9.16,4.22,18.66,0.24,1.91,2.78,10.02,1.83,0.01,0.2,2.76,157.26,190.3,78.75,2.75,2.41,0.6,0.77,296.82,95.17,314.22,64
1,3404,94.16,7.03,1.54,13.59,0.71,25.24,7.55,0.48,47.96,0.09,0.08,3.73,35.59,15.76,17.97,1.87,1.01,0.15,0.42,305.47,133.48,415.95,6.79
1,3405,82.14,9.71,4.08,2.24,0.26,7.5,3.84,1.03,44.99,0.02,0.04,0.31,3.08,61.4,73.6,2.75,0.42,0.08,0.42,141.27,36.51,605.2,6.39
1,3406,280.17,3.38,27.93,11.92,0.09,4.16,0.49,2.54,3.06,0.04,0.02,0.92,38.52,10.45,24.84,1.51,0.66,0.04,0.1,97.61,114.08,318.08,1.46
1,3407,59.37,5.4,3.05,3.41,0.91,127.58,6.99,2.93,756.92,0.03,0.05,0.63,36.27,30.76,103.36,1.05,0.34,0.13,0.21,181.25,70.97,857.39,6.74
1,3408,134.55,4.97,11.79,3.96,1.9,35.2,15.71,7.79,204.92,0.06,0.08,1.32,17.21,33.53,42.18,1.07,0.62,0.21,0.37,111.2,75.28,382.66,3.09
1,3409,335.76,4.28,35.47,1.96,1.29,23.11,10.58,18.94,136.79,0.04,0.06,0.85,0,24.59,20.9,1.68,0.5,0.13,0.3,78.88,45.8,580.58,0.49
1,3410,58.75,4.65,3.8,2.79,1.66,219.13,22.4,2.5,1313.66,0.02,0.09,0.78,0,28.21,41.63,1.61,0.49,0.12,0.53,244.73,46.36,740.29,1.48
1,3411,106.06,1.55,6.61,10.3,0.23,30.14,4.44,0.62,23.43,0.01,0.1,3.35,115.94,38.28,40.48,3.45,1.14,0.09,0.21,176.83,117.51,514.55,19.19
1,3412,56.92,4.17,4.27,1.4,0.69,13.42,14.76,0.13,68.7,0.03,0.03,0.87,5.85,8.05,17.31,0.4,0.2,0.08,0.04,87.14,20.65,566.28,0.37
1,3413,100.99,16.42,3.28,11.58,0.27,10.15,2.66,1,60.74,0.01,0.04,0.24,1.87,23.45,36.35,3.66,0.24,0.06,0.24,67.23,102.38,268.8,0.88
1,3414,88.03,10.89,4.46,3.13,2.72,139.31,19.37,1.79,13.77,0.09,0.09,1.13,2.31,31.56,61.54,1.96,0.72,0.11,0.68,247.91,69.6,551.28,1.31
1,3415,138.46,8.57,9.96,4.02,0.64,10.44,0.79,4.81,63.12,0.07,0.07,0.61,4.22,10.98,32.87,0.93,0.13,0.03,0.08,23.57,61.52,366.67,0.83
1,3416,86.46,17.56,1.3,6.69,6.1,125.8,7.78,2.02,755.56,0.04,0.32,8.1,0,45.2,55.79,13.8,1.81,0.32,0.6,442.41,117.81,1822.64,11.41
1,3417,217,9.27,16.69,7.67,0.26,6.09,0,0.71,0,0.08,0.12,1.91,119.13,18.43,14.17,1.34,1.07,0.09,0.24,69.3,77,101.6,15.14
1,3418,342.98,18.01,25.31,11.35,1.05,39.63,1.22,0.81,36.87,0.18,0.15,3.27,52.86,25.22,16.25,3.17,1.77,0.13,0.22,221.82,142.3,405.95,10.02
1,3419,60.09,13.37,0.33,2.18,1.32,50.44,7.76,0.37,304.41,0.06,0.03,0.44,0,23.74,24.79,0.49,0.34,0.25,0.14,219.15,38.09,23.92,0.92
1,3420,114.37,7.09,7.57,4.79,0.41,16.55,4.45,1.54,15.97,0.04,0.09,1.09,17.96,13.18,40.18,1.72,0.53,0.13,0.28,116.42,56.29,317.21,4.06
1,3421,290.44,19.9,14.8,19.41,2.95,20.6,0.24,1.03,0,0.46,0.07,2.5,37.67,45.21,7.67,2,2.33,0.97,0.32,211.8,269.3,213.4,4.73
1,3422,99.39,6.31,7.65,2.01,0.63,12.53,12.95,4.31,70.72,0.02,0.02,0.51,2.53,10.69,16.6,0.62,0.22,0.08,0.1,81.27,22.63,369.98,0.36
1,3423,221.33,34.64,6.13,7.33,0.4,66.31,3.87,0.38,387.43,0.02,0.02,0.31,18.84,13.99,43.94,0.46,0.15,0.06,0.1,90.78,32.72,428.51,2.93
1,3424,66.6,5.15,5.05,13.14,0.87,4.61,1.19,0.37,19.04,0.01,0.02,0.18,4.57,5.59,42.87,1.71,0.09,0.03,0.13,20.31,119.1,266.54,0.19
1,3425,201.24,19.94,10.48,7.3,0.38,87.52,3.73,0.37,405.38,0.07,0.07,1,18.2,8.18,12.86,0.7,0.61,0.04,0.06,124.41,56.89,209.19,3.92
1,3426,162.63,3.01,14.16,5.94,0.18,5.96,1.13,0.43,4.53,0.06,0.09,1.5,103.4,10.64,12.17,0.84,0.81,0.1,0.09,81.62,49.99,598.6,12.94
1,3427,459.28,6.17,45.13,7.38,0.28,42.15,0.78,4.55,3.62,0.04,0.11,2.01,62.63,15.47,10.33,1.94,0.72,0.13,0.21,114.52,68.93,310.74,5.53
1,3428,184.89,18.5,11.17,4.03,1,35.28,21.99,0.56,18.5,0.06,0.05,0.47,0,14.19,28.35,1.12,0.32,0.09,0.66,147.33,49.98,392.78,1.9
1,3429,140.61,7.38,12.18,1.69,1.35,41.86,24.92,7.81,248.42,0.03,0.09,0.46,0,20.83,184.96,3.18,0.64,0.09,0.42,231.53,40.45,491.72,0.62
1,3430,275.22,3.82,22.96,13.34,0.02,61.24,0.25,4.28,0,0.07,0.19,3.32,72.92,12.37,10.61,2.27,1.16,0.19,0.08,164.22,105.6,456.73,10.5
1,3431,176.17,22.14,9.46,1.72,0.97,2.23,32.71,0.71,0,0.07,0.02,0.47,0,16.1,32.65,1.29,0.23,0.1,1.04,224.56,50.24,200.51,0.36
1,3432,127.85,6.34,6.08,12.14,0.41,20.26,7.22,0.51,84.74,0.03,0.11,3.54,48.14,23.09,29.96,2.54,2.88,0.14,0.17,190.51,115.88,387.07,3.97
1,3433,110.23,4.17,2.7,17.3,0.18,28.26,0.23,0.79,0,0.04,0.09,2.57,128.46,42.84,81.92,1.46,1.97,0.1,0.45,306.26,192.98,41.05,14.18
1,3434,60.57,11.04,1.54,1.75,1.14,2.43,4.11,0.19,16.22,0.04,0.02,0.35,0,16.84,13.38,0.27,0.26,0.2,0.11,173.97,30.43,546.39,0.6
1,3435,133.95,0.95,9.88,11.2,0.05,11.68,0.08,0.62,3.38,0.02,0.1,1.83,50.39,22.56,83.71,1.22,1.67,0.05,0.34,129.96,142.31,545.41,19.41
1,3436,78.35,6.2,5.7,11.28,1.9,15.4,8.21,0.54,86.31,0.02,0.06,0.61,3.47,8.04,36.17,1.89,0.26,0.05,0.21,56.88,100.14,185.56,0.61
1,3437,136.95,3.57,5.67,18.88,0.94,125.92,2.77,1.59,527.95,0.05,0.09,2.84,97.3,34.47,31.87,1.17,0.96,0.11,0.11,319.21,177.81,198.18,34.68
