Kind,ID,calories,carbohydrate,fat,protein,vitamine,vta,vtc,vte,carotene,thiamine,riboflavin,yansuan,cholesterol,mg,ca,iron,zinc,copper,mn,k,p,na,se
1,2530,56.67,8.07,1.23,3.87,1.14,70.2,14,1.04,401.4,0.06,0.04,0.63,0,15.53,15.04,0.71,0.27,0.08,0.15,181.4,36.35,348.97,0.31
1,2531,35.59,5.86,1.36,1.15,1.1,23.51,7.55,0.96,142.19,0.02,0.04,0.58,0,11.82,20.78,0.52,0.21,0.09,0.12,139.8,22.41,450.17,0.42
1,2532,37.65,6.04,1.57,1.14,1.25,7.86,4.88,1.04,49.04,0.02,0.04,0.61,0,15.05,24.25,0.67,0.24,0.1,0.19,141.26,25.12,625.51,0.5
1,2533,95.94,8.38,4.2,6.58,0.53,107.34,4.02,1.05,10.05,0.06,0.14,0.27,0,13.45,40.54,1.74,0.66,0.11,0.09,160.91,79.43,654.75,7.05
1,2534,70.8,8.17,2.09,5.58,0.65,3.58,5.74,0.18,14.59,0.04,0.05,1.67,13.3,15.51,19.53,1.13,1.02,0.08,0.11,168.57,67.15,556.45,3.09
1,2535,31.92,3.99,1.65,1.09,0.87,23.86,20.93,0.55,142.7,0.02,0.03,0.28,0,14.43,21.18,0.62,0.2,0.06,0.12,126.87,26.29,556.18,0.47
1,2536,77.18,7.77,3.29,4.52,3.53,56.32,5.96,1.88,58.21,0.05,0.12,0.45,0,28,53.2,11.14,0.67,0.1,1,177.25,72.08,535.45,3.41
1,2537,69.02,3.82,2.27,8.78,0.42,258.54,4.05,3.1,430.1,0.04,0.15,1.02,128.37,15.53,69.02,1.62,1.85,1.45,0.28,161.09,99.64,471.59,27.51
1,2538,69.63,9.4,2.14,3.98,1.46,118.88,6.69,5.73,714.87,0.03,0.04,0.41,0,33.76,17.53,0.84,0.44,0.17,0.5,214.43,25.61,666.64,1
1,2539,327.06,9.89,27.29,11.05,5.73,22.05,2.44,2.39,45.75,0.17,0.19,2.76,50,40.52,55.76,19.44,1.92,0.11,1.71,285.56,159.26,1522.38,8.26
1,2540,108.55,11.77,7.77,4.77,6.86,8.22,3.56,2.04,35.89,0.12,0.08,1.07,10.96,30.13,24.58,1.47,1.59,0.17,1.73,276.81,79.65,335.92,2
1,2541,91.44,3.49,3.35,13.01,0.91,9.18,1.83,0.57,33.75,0.09,0.14,5.03,34.52,19.31,8.55,2.19,2.35,0.15,0.13,240.03,133.25,736.38,6.41
1,2542,98.7,11.06,2.62,8,0.51,8.89,17.3,0.33,24.82,0.07,0.07,2.6,17.26,21.82,12.42,1.44,1.36,0.13,0.18,301.11,77.07,866.47,3.67
1,2543,75.39,2.32,5.36,5.61,0.97,46.36,3.13,0.19,207.5,0.01,0.15,2.45,44.02,19.74,23.03,4.21,0.61,0.1,0.48,186.04,71.95,40,4.17
1,2544,94.03,6.1,3.48,9.56,0.36,13.43,6.43,0.19,7.71,0.04,0.07,5.33,39.05,17.81,7.75,0.96,0.37,0.06,0.06,186.87,108.3,394.87,5.4
1,2545,175.56,12.78,5.29,19.12,2.03,20.7,0,1.83,0,0.15,0.13,8.91,64.06,44.95,21.55,1.44,0.86,0.14,0.24,424.97,217.77,489.45,8.54
1,2546,107.69,3.04,4.81,13.42,0.36,5.09,0,1.6,0,0.04,0.2,1.44,39.81,21.58,28.53,1.39,1,0.07,0.05,217.1,112.59,1169.95,6.34
1,2547,116.05,0.74,5.58,15.97,0.2,13.4,0.28,1.98,17.76,0.04,0.11,2.7,81.59,30.79,40.57,0.85,0.85,0.06,0.08,306.23,194.24,268.87,6.39
1,2549,120.19,4.57,4.01,16.63,0.12,131.41,13.72,1.79,13.38,0.07,0.14,3.12,93.87,15.75,66.51,2.69,2.24,0.12,0.07,207.81,107.8,90.2,14.16
1,2550,118.15,2.95,4.53,16.5,0.04,128.61,2.5,1.74,2.38,0.07,0.14,3.12,93.17,14.75,65.34,2.61,2.16,0.12,0.07,197.05,107.18,307.3,14.07
1,2552,65.85,3.64,0.71,11.19,0.39,14.18,17.53,1.21,3.3,0.02,0.04,1.53,162.2,31.79,15.23,0.95,1.02,0.52,0.15,327.56,124.11,684.12,27.05
1,2553,65.68,3.32,1.77,9.41,0.36,24.1,1.99,0.99,145.38,0.02,0.1,1.42,129.39,28.7,23.79,3.23,0.93,0.44,0.37,313.54,108.02,560.71,21.84
1,2554,159.27,1.32,7.89,21.36,0.05,0.44,0.24,0,2.63,0,0,0.01,0,0.74,0.89,0.04,0.01,0,0.04,5.19,0.72,450.35,0.03
1,2555,140.23,2.4,7.23,16.78,0.14,106.82,1.41,0.82,33.46,0.05,0.13,0.26,0,10.1,29.11,1.21,0.54,0.08,0.06,84.78,65.08,224.41,6.33
1,2556,149.93,12.33,6.26,11.52,4.09,70.55,0.32,1.92,4.42,0.07,0.15,0.55,43.15,42.17,128.12,20.76,1.27,0.29,1.6,216.07,158.78,835.77,7.04
1,2557,263.99,12.02,18.45,12.49,8.53,72.65,0.18,3.84,1.96,0.17,0.26,2.26,34.09,53.11,87.71,28.89,2.07,0.16,2.57,345.22,185.76,407.92,9.84
1,2558,30.39,4.75,1.14,2.47,2.03,339.92,22.84,1.37,2038.11,0.05,0.11,1.27,0,44.47,46.67,2.27,0.74,0.11,0.51,247.84,53.94,388.67,1.09
1,2559,32.1,5.17,1.32,1.73,1.75,9.04,19.28,0.27,55.62,0.02,0.05,0.84,0,10.29,30.08,0.61,0.62,0.07,0.21,71.28,35.07,350.56,1.02
1,2560,35.21,5.93,1.43,2.25,2.51,9.47,8.17,1.07,26.73,0.14,0.17,3.69,0,16.26,1.88,1.33,0.37,0.13,0.1,187.49,88.38,419.54,0.32
1,2561,101.12,4.94,6.71,6.89,1.33,101.17,1.61,1.34,16.54,0.12,0.21,2.03,0,13.33,26.07,1.58,0.69,0.14,0.09,168.79,104.35,1160.17,6.3
1,2562,48.47,4.78,1.99,4.13,1.23,0.08,0.14,1.03,0.5,0.07,0.24,5.59,0,22.19,57.62,1.47,0.73,0.35,0.2,159.52,56.19,378.28,0.67
1,2563,216.31,37.14,3.23,10.33,0.55,67.14,4.35,0.25,387.19,0.03,0.09,3.14,13.1,15.8,28.54,0.52,0.3,0.08,0.1,110.73,43.73,423.89,1.82
1,2564,126,6.87,4.95,13.66,0.05,17.63,1.18,1.01,22.18,0.07,0.1,6.71,52.73,52.61,41.27,2.07,0.46,0.11,0.56,313.12,138.4,878.4,11.45
1,2565,48.19,6.6,1.57,2.27,0.43,20.7,2.79,0.79,104.65,0.03,0.02,0.44,2.33,40,44.58,1.91,0.35,0.1,0.59,230,39.99,686.44,4.29
1,2566,25.53,3.7,0.84,1.18,0.65,167.64,4.27,1.44,27.7,0.03,0.12,1.13,0,22.13,43.23,1,0.2,0.03,0.14,231.09,24.71,305.65,6.99
1,2567,48.77,4.96,2.78,1.58,0.68,16.33,21.21,2.09,98.06,0.03,0.07,0.76,0,15.78,46.49,0.92,0.34,0.04,0.18,71.07,31.53,639.89,2.54
1,2568,353.58,46.12,13.65,12.41,0.79,9.78,0.35,0.57,26,0.07,0.12,2.78,24.24,14.41,12.39,4.6,1.1,0.37,1.16,127.04,120.39,758.78,6.58
1,2569,125.04,22.45,1.53,7.15,1.75,15.89,0.41,3.09,35.62,0.08,0.09,0.6,6.16,38.85,65.18,1.91,0.77,0.3,0.32,260.49,122.45,16.25,1.99
1,2570,340,70.32,0.88,14.48,1.76,4.4,0,2.75,26,0.05,0.09,2.48,0,34.6,22.6,5.38,0.99,0.63,1.62,196.6,152.2,17.84,4.54
1,2571,45.86,6.21,1.99,2.39,1.44,15.34,4.73,0.92,92,0.03,0.05,0.46,0,18.68,27.2,0.77,0.34,0.12,0.18,163.15,44.44,431.86,1.05
1,2572,242.94,41.33,2.23,14.98,7.77,29.91,0.7,6.04,3.16,0.36,0.18,2.63,0,85.26,70.03,3.78,1.86,0.45,0.84,649.06,203.44,557.38,1.34
1,2573,62.34,12.92,1.35,1.94,2.27,19.08,53.76,2.11,112.72,0.04,0.02,0.26,0,10.4,23.41,1.04,0.49,1.62,0.63,124.86,22.54,8.67,0.24
1,2574,51.45,13.04,0.3,0.58,1.49,12.89,25.24,1.6,48.16,0.05,0.02,0.28,0,8.52,13.77,0.75,0.29,0.58,0.52,139.61,17.16,4.65,0.21
1,2575,342.14,5.82,30.73,10.78,0.48,14.52,0.16,0.28,0.58,0.18,0.13,2.81,64.1,13.02,5.3,1.3,1.66,0.05,0.03,164.98,130.17,425.63,9.61
1,2576,49.27,9.73,0.69,2.06,1.32,16.31,3.66,1.3,97.56,0.04,0.04,0.21,0,14.54,10.38,0.59,0.27,0.11,0.3,104.04,36.66,4.46,0.29
1,2577,211.6,43.68,0.56,9.64,1.64,34.4,2.4,2.51,206,0.06,0.07,1.52,0,33,22.6,3.46,0.75,0.44,0.94,211.8,113.4,10.52,2.76
1,2580,213.81,46.08,0.56,6.85,1.08,10.38,70.43,0.73,57.14,0.04,0.07,1.54,0,17.1,20.19,3.11,0.76,0.29,1.28,182.05,72.52,23.15,2.49
1,2581,124.71,31.18,0.3,1.09,1.88,39.6,240.59,0.77,237.62,0.06,0.09,0.89,0,24.77,21.84,1.19,1.51,0.06,0.32,371.31,22.8,1.21,0.8
