viewId,viewName,calories,carbohydrate,fat,protein,vitamine,vta,vtc,vte,carotene,thiamine,riboflavin,yansuan,cholesterol,mg,ca,iron,zinc,copper,mn,k,p,na,se,source,kind
44,ÂÜ²·ìÀÅÅ¹Ç,196.24,3.67,18.9,3.61,0.8,6.16,13.77,0.62,19.16,0.04,0.03,0.98,34.71,16.93,28.39,0.71,0.72,0.05,0.12,185.5,48.32,315.78,1.6,book:³¦Î¸,1
45,´×ÁïÍÁ¶¹Ë¿,583.99,38.53,46.06,3.9,1.95,8.05,0.2,4.97,2.72,0.09,0.05,6.13,0,33.6,13.91,1.31,1.39,0.27,0.28,601.08,86.34,362.18,0.45,book:³¦Î¸,1
46,ÍÁ¶¹ìÀÅ£Èâ,88.57,8.22,1.14,11.51,0.46,4.3,11.62,0.64,4.31,0.06,0.09,3.57,37.06,24.16,10.2,2.2,2.23,0.11,0.16,255.16,126.56,448.6,2.87,book:³¦Î¸,1
47,¶¬¹ÏÞ²Ã×ÊÝÈâÌÀ,182.13,28.57,4.04,8.96,1.05,13.45,7.14,0.89,31.44,0.19,0.08,1.88,15.34,41.48,25.04,2.03,1.24,0.16,0.54,180.35,123.26,459.74,3.07,book:³¦Î¸,1
48,¶¬¹ÏÅÅ¹ÇÌÀ,195.15,2.52,19.39,3.33,0.69,12.06,11.65,0.09,54.81,0.04,0.02,0.97,34.28,12.08,18.87,0.53,0.58,0.07,0.1,124.63,39.16,274.14,1.34,book:³¦Î¸,1
49,Ïã¹½±â¶¹,34.46,7.48,0.24,2.79,2.18,15.63,7.55,0.14,94.05,0.03,0.07,1.12,0,22.08,25.01,1.16,0.58,0.1,0.29,108.23,52.62,427.79,1.26,book:³¦Î¸,1
50,±â¶¹ìËÃæ,205.91,34.4,5.03,6.84,1.09,10.25,4.15,0.42,48.07,0.15,0.08,1.46,9.95,35.42,20.06,2.77,1.23,0.13,0.58,159.85,122.95,374.71,7.7,book:³¦Î¸,1
51,·¬ÇÑ³´µ°,74.95,3.48,4.48,5.57,0.31,131.66,11.35,1.24,331.98,0.07,0.14,0.43,229.58,9.82,24.26,1.16,0.48,0.06,0.07,144.41,85.17,280.94,5.99,book:³¦Î¸,1
52,·¬ÇÑìÀ¶¹¸¯,52.17,3.13,2.14,5.66,0.5,54.97,10.85,3.15,328.71,0.04,0.03,0.47,0,31.77,64.56,1.3,0.34,0.13,0.34,137.56,79.71,337.24,0.75,book:³¦Î¸,1
53,Á¹°èÝ«ËñË¿,31.19,4.04,1.37,1.33,0.72,23.58,3.77,0.78,141.51,0.02,0.02,0.55,0,21.33,31.89,1.17,0.4,0.09,0.25,209.8,54.88,286.31,0.62,book:³¦Î¸,1
54,É½Ò©Ä¾¶ú³´Ý«Ëñ,22.93,5.08,0.13,1.17,0.85,18.91,3.75,1.08,113.96,0.02,0.02,0.44,0,23.4,23.43,1.44,0.36,0.09,0.31,191.05,41.83,317.79,0.55,book:³¦Î¸,1
55,ÏºÈÊÓÍ²Ë,39.42,3.28,1.18,4.57,0.73,65.35,23.01,0.59,393.35,0.03,0.07,0.46,0,14.61,69.87,0.81,0.24,0.05,0.16,142.65,28.39,533.54,0.61,book:³¦Î¸,1
56,Ë«¶¬°ÇÓÍ²Ë,33.68,6.68,0.38,2.17,1.36,67.37,23.32,0.56,405.82,0.04,0.1,0.87,0,16.03,73.19,0.89,0.32,0.06,0.2,138.78,42.73,533.27,0.93,book:³¦Î¸,1
2386,ìÁ³´Â«Ëñ,22.95,5.56,0.23,1.54,2.26,16.31,42.7,0.09,95.99,0.04,0.05,0.69,0,11.34,14.39,1.44,0.47,0.08,0.26,214.61,43.91,375.6,0.27,book:³¦Î¸,1
2387,Â«Ëñ³´Èâ,71.4,6.2,2.49,7.18,1.23,12.47,27.76,0.18,64.48,0.17,0.07,2.09,16.77,18.17,10.54,1.61,0.99,0.1,0.19,238.73,86.54,462.86,1.8,book:³¦Î¸,1
2388,´×Áï°×²Ë,19.1,3.65,0.12,1.55,0.8,19.02,29.03,0.72,114.12,0.04,0.05,0.63,0,11.62,48.09,0.9,0.42,0.05,0.29,20.83,34.12,244.79,0.59,book:³¦Î¸,1
2390,Ïã¹½Öà,272.36,57.23,0.76,10.3,1.12,0.16,0.46,0.55,0.93,0,0.08,2.41,0,11.76,7.38,4.04,0.67,0.43,1.41,44.31,93.03,626.49,4.09,book:³¦Î¸,1
2391,°åÀõ³´Ïã¹½,95.32,18.32,1.73,3.58,1.95,42.89,9.6,1.27,108.71,0.05,0.11,1.16,0,20.28,23.42,0.88,0.58,0.17,0.51,152.06,62.37,356.42,3.03,book:³¦Î¸,1
2392,½ðÕë¹½°è»Æ¹Ï,46.62,6.85,2.22,1.73,1.9,8.54,4.46,0.84,51.23,0.09,0.12,2.4,0,16.17,14.26,1.15,0.32,0.11,0.16,154.84,65.36,301.76,0.37,book:³¦Î¸,1
2393,½ðÕë¹½³´ÈâË¿,86.79,6,6.26,3.99,2.28,6.13,1.29,0.79,19.35,0.13,0.15,3.24,12.9,16.12,2.36,1.34,0.61,0.1,0.09,164.33,92.16,485.68,2.15,book:³¦Î¸,1
2394,ºïÍ·¹½ìÀ²ñ¼¦,144.61,2.16,8.03,16.65,0.73,40.81,0.69,0.64,1.22,0.04,0.08,4.78,89.68,17.49,13.79,1.62,0.99,0.07,0.05,215.76,137.66,277.1,10.13,book:³¦Î¸,1
2395,ºïÍ·¹½ÇåìÀÅÅ¹Ç,141.57,3.31,10.49,10.32,1.93,6.21,1.86,0.25,0.61,0.41,0.1,2.92,84.01,12.52,12.77,1.63,1.09,0.09,0.06,147.6,83.59,369.52,5.94,book:³¦Î¸,1
2396,Ä¾¶úÖà,304.26,66.69,0.82,10.47,2.94,7.19,36,1.47,42.96,0.02,0.11,2.24,0,23.93,28.33,11.22,0.98,0.42,2,147.96,103.56,19.8,3.8,book:³¦Î¸,1
2397,Ä¾¶ú¶¹¸¯ÌÀ,92.46,10.01,3.43,8.35,2.99,1.49,0,3.37,8.77,0.05,0.06,0.39,0,37.05,165.91,10.23,1.26,0.27,1.19,176.3,130,700.24,2.36,book:³¦Î¸,1
2400,Ñ¼ÈâÖà,282.3,35.44,9.77,13.52,0.35,24.98,0.2,0.46,2.74,0.04,0.14,3.24,44.34,14.08,7.36,3.56,0.97,0.35,0.9,118.93,109.76,413.78,8.04,book:³¦Î¸,1
2401,ÀÏÑ¼¶¬¹ÏÞ²Ã×ÌÀ,170.6,6.91,11.61,10.07,0.42,34.3,6.05,0.35,28.02,0.07,0.14,2.67,53.76,18.33,13.6,1.64,0.93,0.17,0.19,157.8,91.94,168.97,7.34,book:³¦Î¸,1
2402,»¨Éú½´¼¦Ë¿Ô²°×²Ë,113.58,3.33,4.97,14.08,0.31,16.67,8.61,0.42,33.33,0.06,0.11,7.72,56.94,23.08,17.83,0.81,0.54,0.07,0.05,237.47,159.72,104.86,7.47,book:³¦Î¸,1
2403,¹¬±£¼¦¶¡,178.5,9.52,10.67,11.52,1.59,26.49,1.09,1.2,17.58,0.08,0.12,4.45,85.99,39.64,19.21,1.82,1,0.13,0.44,212.86,137.84,532.21,7.13,book:³¦Î¸,1
2404,Á«×ÓìÀÖí¶Ç,103.82,4.3,4.04,12.58,0.05,2.73,0.27,0.26,2.5,0.05,0.12,2.87,127.17,10.07,9.56,1.89,1.5,0.08,0.13,139.04,97.3,361.23,9.88,book:³¦Î¸,1
2405,Öí¶Ç´óÃ×Öà,150.41,16.48,3.65,13.05,0.22,2.52,0.53,0.38,3.18,0.05,0.13,3.06,111.49,12.89,11.16,2.71,1.47,0.2,0.47,149.24,108.89,588.32,9.63,book:³¦Î¸,1
2406,²¤²ËÖíÑªÌÀ,59.73,3.06,2.59,6.93,0.84,222.83,15.39,0.9,1336.07,0.03,0.07,0.43,23.29,29.65,33.49,5.34,0.54,0.1,0.33,174.28,30.5,423.7,4.11,book:³¦Î¸,1
2407,ÖíÑªìÀ¶¹¸¯,70.65,4.01,1.99,9.7,0.52,0.81,0.33,1.39,4.91,0.03,0.04,0.28,23.91,17.08,85.93,5.11,0.68,0.19,0.32,93.8,65.07,398.96,4.85,book:³¦Î¸,1
2408,ÇåÕôöãÓã,97.68,0.42,3.34,16.49,0.09,26.04,1.84,1.16,45.86,0.03,0.07,2.4,91.16,23.22,53.14,1.43,1.1,0.07,0.15,270.59,177.22,272.2,14.47,book:³¦Î¸,1
2409,ÇÑÖ­öãÓã,109.27,6.31,2.89,14.66,0.24,16.42,0.33,1.33,3.64,0.03,0.06,2.51,78.32,24.94,46.78,1.51,1.04,0.08,0.22,316.13,165.69,268.52,12.54,book:³¦Î¸,1
2410,öêÓãºúÂÜ²·ÌÀ,63.45,5.58,1.22,7.81,0.67,194.28,10.45,0.54,7.17,0.03,0.06,1.19,54.32,23.98,52.43,0.84,0.94,0.06,0.1,226.24,92.78,205.81,6.94,book:³¦Î¸,1
2411,º£´øÂÌ¶¹Öà,281.33,58.53,0.71,11.85,1.62,4,0,2.75,23.64,0.05,0.1,2.18,0,34.61,28.12,4.44,0.85,0.51,1.28,217.58,129.61,15.24,5.31,book:³¦Î¸,1
2412,º£´øÊÝÈâÖà,326.6,11.69,26.91,9.58,0.09,12,0,0.54,0,0.15,0.14,2.68,53.33,15.62,15.27,1.7,1.42,0.05,0.05,178.24,114.49,1005.98,9.68,book:³¦Î¸,1
2413,Æ»¹û³´¼¦Áø,98.7,11.3,2.31,8.74,0.62,9.09,2.2,1.02,13.7,0.06,0.07,4.86,35.65,15.57,5.33,0.75,0.33,0.06,0.1,208.77,100.72,529.11,4.69,book:³¦Î¸,1
2414,Æ»¹ûÖ­,52,13.5,0.2,0.2,1.2,3,4,2.12,20,0.06,0.02,0.2,0,4,4,0.6,0.19,0.06,0.03,119,12,1.6,0.12,book:³¦Î¸,1
2415,Ïã½¶ÂÌ²èÒû,91.62,17.3,1.31,3.2,1.3,55.9,5.58,0.57,32.88,0.02,0.1,0.79,6.16,36.55,65.68,0.98,0.49,0.16,1.7,270.18,58.12,17.95,1.31,book:³¦Î¸,1
2416,Ïã½¶Öà,211.13,46.12,0.51,6.39,0.91,5.33,4.27,0.44,32,0.01,0.06,1.53,0,28.31,7.8,2.51,0.41,0.31,1.12,158.33,62.04,10.04,2.51,book:³¦Î¸,1
2417,Ä¾¹ÏÄûÃÊÖ­,29.29,6.77,0.41,0.6,0.94,103.57,37,0.54,621.43,0.02,0.02,0.39,0,17,41,0.37,0.36,0.06,0.05,72.57,14.86,20.31,1.43,book:³¦Î¸,1
2418,Ïã½¶Ä¾¹ÏËáÄÌ,37.55,8.67,0.36,0.7,0.76,120.42,35.55,0.28,707.42,0.01,0.03,0.33,1.45,12.58,25.81,0.24,0.27,0.04,0.11,53.81,20.61,26.51,1.7,book:³¦Î¸,1
2419,·äÃÛèÖ×Ó²è,384.33,95.35,0.32,0.07,0,0,0.5,0,0,0.02,0.03,0.02,0,2,19.83,1.33,0.24,0.03,0.01,5.5,0.5,2.3,0.02,book:³¦Î¸,1
2420,²ÝÝ®èÖÖ­,30,7.1,0.2,1,1.1,5,47,0.71,30,0.02,0.03,0.3,0,12,18,1.8,0.14,0.04,0.49,131,27,4.2,0.7,book:³¦Î¸,1
2421,ÏÊÆÏÌÑÖ­,49.92,12.04,0.2,0.49,0.39,7.84,24.51,0.69,49.02,0.04,0.02,0.2,0,7.88,5.02,0.4,0.18,0.09,0.06,102,12.8,1.31,0.2,book:³¦Î¸,1
2422,·¬ÇÑÆÏÌÑÆ»¹ûÒû,33.16,7.92,0.2,0.63,0.65,48.15,16.68,0.98,288.89,0.04,0.02,0.4,0,7.56,7.46,0.45,0.16,0.07,0.06,137.04,17.53,3.2,0.2,book:³¦Î¸,1
2423,Ïã³È³´·¹,94.51,20.5,0.51,2.2,0.74,9.27,10.64,0.16,55.15,0.02,0.03,1.24,0,12.58,8.64,0.91,0.6,0.05,0.37,61.27,43.91,1.9,0.35,book:³¦Î¸,1
2424,»Æ¹ÏÆ»¹û³ÈÖ­,41.34,10,0.24,0.54,0.8,11.11,9.81,1.18,67.23,0.04,0.03,0.21,0,9.91,14.55,0.54,0.18,0.05,0.05,114.94,18.19,2.93,0.26,book:³¦Î¸,1
2425,²¤ÂÜºúÂÜ²·Ö­,48.1,11.29,0.19,0.92,1.25,322.6,16.42,0,9.62,0.04,0.03,0.19,0,7.29,21.57,0.57,0.15,0.05,0.54,147.99,12.09,579.44,1.48,book:³¦Î¸,1
2426,²¤ÂÜÇÑÖ­¶¹¸¯,67.36,7.03,2.31,5.36,0.78,1.57,5.91,1.81,9.6,0.04,0.03,0.38,0,21.33,106.16,1.43,0.77,0.2,0.67,152.25,81.62,365.92,1.56,book:³¦Î¸,1
2427,Ð·Î¶³´µ°,130.93,2.94,7.88,12.02,0.05,209.44,0.28,1.65,3.08,0.1,0.24,0.26,0,10.38,51.8,2.1,1.05,0.14,0.22,159.24,121.2,655.86,12.94,book:³¦Î¸,1
2428,»Æ»¨Ä¾¶ú³´¼¦µ°,174.69,31.76,6.14,11.86,13.83,116.19,0.29,6.08,49.26,0.13,0.33,1.26,0,75.55,140.71,45.85,1.99,0.22,4.15,426.08,195.34,626.69,8.35,book:³¦Î¸,1
2429,ÏÌµ°»Æ³´¿à¹Ï,48.48,5.89,2.04,2.77,1.13,34.17,43.27,1.62,80.21,0.05,0.07,0.34,99.23,19.41,29.95,1.13,0.56,0.07,0.19,231.42,63.26,779.04,3.99,book:³¦Î¸,1
2430,ÏÌµ°»ÆŸhÓñÃ×,125.92,17.63,3.83,4.41,1.39,25.77,0,1.2,0,0.03,0.06,0.06,124.42,6,23.38,0.85,0.34,0.03,0.02,35.69,45.38,520.65,4.65,book:³¦Î¸,1
2431,Å£ÄÌ´óÃ×Öà,110.52,16.75,2.75,4.88,0.12,19.35,0.81,0.3,0,0.02,0.13,0.58,12.1,11.19,85.42,1.23,0.47,0.12,0.36,97.39,79.39,34.16,2.45,book:³¦Î¸,1
2432,Ïã½¶Å£ÄÌ,69.86,11.37,1.91,2.31,0.51,18,4,0.22,25.71,0.03,0.1,0.36,8.57,24.71,62.43,0.34,0.32,0.07,0.3,172,53.71,21.6,1.48,book:³¦Î¸,1
2433,Îå¹ÈËáÄÌ¶¹½¬,158.55,23.12,4.67,9,3.22,23.56,0.65,3.42,40.32,0.12,0.14,0.86,9.68,45.79,110.95,2.32,1.12,0.31,0.66,369.29,161.77,27.61,2.74,book:³¦Î¸,1
2434,²¤ÂÜËáÄÌ,58.45,10.08,1.55,1.58,0.61,14.64,9.25,0.15,7.77,0.03,0.09,0.23,7.77,12.23,73.85,0.52,0.38,0.05,0.42,138.2,49.27,326.55,1.03,book:³¦Î¸,1
2435,Éú½ªÑòÈâÖà,253.08,39.37,4.98,13.26,0.56,9.42,0.76,0.46,15,0.02,0.09,2.87,29.05,16.71,10.4,3.57,1.42,0.53,1.2,126.39,104.91,744.67,12.68,book:³¦Î¸,1
2436,ºìÌÇÉú½ªÌÀ,62.75,15.69,0.56,1.26,2.53,26.25,3.75,0,159.38,0.02,0.03,0.77,0,44.62,35.12,1.45,0.34,0.14,3.02,291.56,24.12,15.11,0.79,book:³¦Î¸,1
2437,ºËÌÒÉ½é«Òû,461.33,46.18,29.5,7.57,5.23,2.5,0.5,21.6,15,0.08,0.07,0.52,0,66.17,30,1.42,1.11,0.59,1.75,193.17,148,3.87,2.44,book:³¦Î¸,1
2438,ÎÚ¼¦»ÆÜÎºìÔæÌÀ,154.14,9.64,6.8,14.1,0.54,45.71,69.43,0.7,68.57,0.05,0.09,4.26,75.71,20.71,12.71,1.34,1.21,0.07,0.11,286.43,118,45.56,8.62,book:³¦Î¸,1
2439,ÍÁÜòÜßìÒÖíÈâÌÀ,149.6,1.74,7.45,19.11,0.28,5.99,0.15,0.63,7.8,0.44,0.12,4.93,51.69,28.44,7.32,1.55,2.18,0.16,0.1,305.73,174.36,484.48,5.01,book:³¦Î¸,1
2440,°×ÂÜ²·É½Ò©Öà,167.04,31.74,2.31,5.56,0.79,7.5,10.28,0.68,46.17,0.02,0.05,1.21,0,15.29,22.75,2.26,0.44,0.26,0.72,131.78,57.49,331.84,2.09,book:³¦Î¸,1
2441,ÏãÂ±Ñ¼,247.06,2.25,20.21,14.46,0.39,48.36,0.37,0.34,3.45,0.07,0.21,3.88,86.4,13.87,8.16,2.08,1.25,0.21,0.16,183.62,113.35,296.21,11.35,book:³¦Î¸,1
2442,¼¦ÄÚ½ðÖà,346,72.4,0.9,12.7,0.6,0,0,0.7,0,0,0.08,2.6,0,12,8,5.1,0.69,0.52,1.75,49,106,21.5,4.6,book:³¦Î¸,1
2443,ºìÔæ¸ÊÂóÖà,244.82,63.15,1.61,8.27,13.89,6.51,29.7,1.61,39.16,0.26,0.15,2.75,0,69.05,175.92,7.17,2.68,0.49,2.38,242.61,206.93,1453.98,3.46,book:³¦Î¸,1
2444,ÂóÑ¿ÇàÆ¤Òû,317,75.2,1.3,11.9,10.8,0,0,1.82,0,0.4,0.1,4,0,4,34,5.1,2.33,0.43,3.1,289,325,6.8,4.05,book:³¦Î¸,1
2445,°×ÊõºñÆÓÌÀ,201.71,68.06,3.06,5.04,29.64,19.43,19.79,2.99,116.71,0.05,0.38,1.21,0,245.79,555.93,15.81,4.13,0.92,1.38,105.71,46.07,105.1,4.07,book:³¦Î¸,1
2446,²ÎÐëÂó¶¬²è,252.38,62.07,0.06,1.97,1.05,0,11.08,0,0,0.02,0.04,0.43,0,27.23,15.62,1.15,0.39,0.16,0.22,314.23,37.54,5.16,0.12,book:³¦Î¸,1
2447,Éú½ª³ÂÆ¤Ë®,159.5,44.65,1,4.65,11.7,48,5.5,3.37,289,0.01,0.24,1.45,0,78.5,54.5,5.35,0.67,0.48,1.97,240.5,55,17.95,2.48,book:³¦Î¸,1
2448,¹é²ÎÖíÐÄÌÀ,119,1.1,5.3,16.6,0,13,4,0.74,0,0.19,0.48,6.8,151,17,12,4.3,1.9,0.37,0.05,260,189,71.2,14.94,book:³¦Î¸,1
2449,°×ÊõÜòÜßöêÓãÌÀ,108.89,11.97,3.31,15.25,7.46,16.11,0.12,0.71,7.16,0.04,0.1,2.26,114.04,38.67,71.11,2.14,1.76,0.11,0.19,262.86,173.6,381.43,13.04,book:³¦Î¸,1
2450,ºìÔæÄ¾ÏãÖà,266.06,57.97,0.65,8.1,1.05,14.55,88.36,0.71,87.27,0.02,0.08,1.91,0,16.42,13.03,3.53,0.97,0.34,1.18,166.12,72.7,13.53,3.09,book:³¦Î¸,1
2451,Èâ¹ðÄÏ¹ÏÌÀ,52.41,8.14,1.57,1.82,0.39,83.03,4.35,0.27,432.04,0.03,0.09,0.26,6.99,9.11,56.61,0.38,0.27,0.03,0.06,121.36,45.97,170.49,1.15,book:³¦Î¸,1
2452,Å£ÄÌÕô¼¦µ°,73.69,3.27,4.42,5.25,0,69.94,0.78,0.57,0,0.05,0.17,0.12,11.72,10.78,93.5,0.67,0.57,0.05,0.03,118.84,85.47,57.83,4.65,book:³¦Î¸,1
2453,ÓñÃ×Ö­Ë¦¼¦µ°,106.46,14.72,2.97,4.3,1.5,39,0,0.31,0,0.02,0.04,0.03,0,1.67,9.33,0.33,0.18,0.02,0.01,25.67,21.67,21.92,2.39,book:³¦Î¸,1
2454,Ã×ÌÀ,346,72.4,0.9,12.7,0.6,0,0,0.7,0,0,0.08,2.6,0,12,8,5.1,0.69,0.52,1.75,49,106,21.5,4.6,book:³¦Î¸,1
2455,É½Ò©Ð¡Ã×Öà,188.89,39.97,1.24,5.47,1.04,7.33,2.78,1.42,44.44,0.14,0.05,0.96,0,48.11,23.44,2.43,0.85,0.37,0.56,218.44,107,14.16,2.4,book:³¦Î¸,1
2456,Ïã¹½ÓÍ²Ë,22.63,4.27,0.43,1.92,1.57,71.39,25.29,0.61,429.77,0.03,0.1,1,0,22.12,77.26,1.13,0.42,0.07,0.29,162.98,44.54,531.68,1.19,book:³¦Î¸,1
