feature,score
cholesterol,32
ca,31
fat,25
na,23
protein,21
calories,19
carbohydrate,18
zinc,13
vta,13
carotene,13
riboflavin,12
vte,11
k,11
se,10
thiamine,7
yansuan,7
mg,6
iron,6
p,4
vtc,3
vitamine,3
mn,2
copper,1
