[0.93557919621749408, 20, 0.034516129032258064, 9, 3]
[0.94208037825059099, 10, 0.022258064516129033, 9, 2]
[0.9420803782505911, 60, 0.1938709677419355, 6, 5]
[0.94710401891252949, 110, 0.1570967741935484, 5, 1]
[0.9485815602836879, 150, 0.12645161290322582, 8, 5]
[0.94858156028368801, 140, 0.08354838709677419, 9, 4]
[0.94917257683215128, 110, 0.16935483870967744, 5, 8]
[0.95035460992907794, 130, 0.18161290322580648, 9, 1]
[0.95065011820330969, 80, 0.17548387096774196, 8, 1]
[0.95065011820330969, 150, 0.10806451612903226, 5, 2]
[0.95153664302600482, 150, 0.10806451612903226, 4, 1]
[0.95242316784869974, 80, 0.16322580645161291, 5, 2]
[0.95242316784869974, 90, 0.16322580645161291, 9, 4]
[0.95242316784869974, 110, 0.1570967741935484, 7, 1]
[0.95242316784869974, 110, 0.18161290322580648, 3, 6]
[0.95242316784869974, 140, 0.09580645161290323, 9, 3]
[0.95242316784869974, 140, 0.1938709677419355, 8, 7]
[0.95271867612293148, 120, 0.1570967741935484, 8, 4]
[0.95301418439716312, 90, 0.14483870967741938, 4, 6]
[0.95301418439716312, 90, 0.2, 5, 4]
[0.95301418439716312, 110, 0.10806451612903226, 10, 4]
[0.95301418439716312, 140, 0.10806451612903226, 6, 3]
[0.95330969267139476, 100, 0.18161290322580648, 8, 3]
[0.95330969267139487, 120, 0.11419354838709678, 6, 3]
[0.95330969267139487, 160, 0.16935483870967744, 8, 8]
[0.9536052009456264, 80, 0.16935483870967744, 7, 1]
[0.95360520094562651, 120, 0.10806451612903226, 8, 3]
[0.95360520094562651, 160, 0.11419354838709678, 8, 3]
[0.95390070921985815, 80, 0.18774193548387097, 10, 6]
[0.95390070921985815, 120, 0.11419354838709678, 9, 4]
[0.95390070921985815, 130, 0.10806451612903226, 3, 8]
[0.95390070921985815, 150, 0.11419354838709678, 4, 4]
[0.95419621749408978, 80, 0.2, 7, 2]
[0.95419621749408978, 100, 0.13258064516129034, 6, 8]
[0.95419621749408978, 120, 0.08967741935483871, 10, 5]
[0.95449172576832142, 100, 0.2, 9, 3]
[0.95449172576832142, 120, 0.15096774193548387, 10, 5]
[0.95449172576832142, 160, 0.13258064516129034, 9, 3]
[0.95449172576832153, 60, 0.18161290322580648, 4, 2]
[0.95449172576832153, 100, 0.16935483870967744, 6, 2]
[0.95449172576832153, 120, 0.13870967741935486, 9, 5]
[0.95449172576832153, 130, 0.12645161290322582, 8, 5]
[0.95449172576832153, 140, 0.1570967741935484, 8, 2]
[0.95478723404255317, 60, 0.2, 3, 7]
[0.95478723404255317, 100, 0.13870967741935486, 5, 5]
[0.95478723404255317, 130, 0.18161290322580648, 9, 7]
[0.95478723404255317, 150, 0.10806451612903226, 4, 4]
[0.95478723404255317, 150, 0.11419354838709678, 9, 5]
[0.95478723404255328, 130, 0.18161290322580648, 5, 5]
[0.95478723404255328, 130, 0.18161290322580648, 9, 3]
[0.95478723404255328, 140, 0.13870967741935486, 10, 6]
[0.95478723404255328, 150, 0.14483870967741938, 8, 4]
[0.95508274231678481, 90, 0.2, 3, 4]
[0.95508274231678481, 100, 0.14483870967741938, 7, 5]
[0.95508274231678481, 150, 0.16935483870967744, 9, 1]
[0.95508274231678481, 150, 0.18774193548387097, 10, 2]
[0.95508274231678492, 110, 0.2, 3, 4]
[0.95508274231678492, 120, 0.16322580645161291, 8, 6]
[0.95508274231678492, 140, 0.12032258064516128, 6, 6]
[0.95537825059101644, 160, 0.15096774193548387, 4, 7]
[0.95537825059101655, 100, 0.1570967741935484, 5, 4]
[0.95537825059101655, 110, 0.18161290322580648, 4, 2]
[0.95537825059101655, 130, 0.1570967741935484, 9, 3]
[0.95537825059101655, 150, 0.16322580645161291, 5, 8]
