Kind,ID,calories,carbohydrate,fat,protein,vitamine,vta,vtc,vte,carotene,thiamine,riboflavin,yansuan,cholesterol,mg,ca,iron,zinc,copper,mn,k,p,na,se
0,1495,558.78,1.84,57.46,8.59,0.01,28.99,0.14,2.48,0.5,0.12,0.07,4.44,98.99,11.04,3.94,1.32,1.01,0.06,0.05,125.23,68.81,567.78,6.45
0,1510,349.54,48.61,15.06,6.79,1.16,6.28,0.18,27.08,0,0.18,0.09,1.29,4.9,29.09,48.96,1.99,0.99,0.22,0.8,116.03,126.79,13.27,3.25
0,1563,544.79,3.57,54.58,8.63,0,9.25,0,0.05,0,0.08,0.04,2.23,100.83,16.73,7.03,1.01,1.5,0.05,0.03,200.27,90.22,833.28,3.45
0,1590,359.48,9.6,33.47,5.3,0.55,15.87,2.53,3.88,69.15,0.06,0.04,1.33,45.84,18.95,22.24,1.35,0.97,0.2,0.21,252.1,68.64,100.13,2.31
0,1610,467.88,10.79,43.71,7.77,0.12,57.22,3.17,3.5,59.29,0.07,0.08,1.24,62.75,11.4,22.53,1.1,1.03,0.07,0.08,138.13,67.68,205.42,5.24
0,1648,474.01,36.26,33.77,8.5,1.83,12.64,0,5.46,55.11,0.14,0.06,1.08,13.17,34.24,41.02,2.39,1.15,0.34,0.77,334.6,116.74,122.6,2.92
0,1666,391.82,17.65,33.12,6.53,0.72,20.69,10.01,2.1,87.48,0.1,0.1,1.57,56.95,35.19,13.55,1.3,1.07,0.19,0.68,299.56,91.62,413.3,2.34
0,1678,500.14,9.2,43.16,20.9,2.21,6.4,0.17,17.13,37.68,0.06,0.08,2.16,0,88.69,435.06,18.91,1.55,0.38,0.65,134.01,235.66,345.72,1.88
0,1704,514.27,4.58,51.18,9.69,0.82,9.21,0.16,3.56,0.7,0.08,0.05,2,89.66,35.54,10.42,1.42,1.57,0.13,0.4,249.58,89.96,412.5,3.37
0,1749,433.67,6.5,42.4,7.16,0.63,10.29,0.05,0.32,15.95,0.07,0.06,1.89,74.6,18.88,37.93,3.38,1.35,0.07,0.24,252.61,88.4,1887.38,3.12
0,1811,274.87,19.11,17.3,19.04,8.39,26.14,1.07,10.75,141.55,0.23,0.12,1.33,8.19,112.86,119.63,4.93,1.9,0.73,1.23,833.14,259.45,460.51,3.73
0,2079,546.6,54.23,34.65,4.34,1.01,0,0.19,0,0,0,0.01,0.01,95.48,3.16,16.71,0.48,0.07,0.02,0.04,15.68,4.84,13.12,0.53
0,2166,334.46,5.5,33.76,6.3,3.29,207.28,2.68,4.72,1157.75,0.03,0.12,0.65,1.03,72.47,221.95,2.97,1.59,0.59,1.2,362.54,146.76,613.59,0.4
0,2213,490.14,28.32,39.86,5.65,0.77,1.19,0,0.34,0,0.01,0.01,0.13,24,0.84,6.84,0.12,0.07,0.08,0.01,22.62,34.32,4.51,0.34
0,2246,501.6,40.43,34.97,9.16,4.03,26.51,0.27,12.9,8.06,0.07,0.08,0.39,50.92,44.12,46.45,1.64,0.86,0.38,1.33,135.11,106.52,23.02,3.16
0,2278,503.05,36.56,36.14,8.01,0,0,0,0,0,0.01,0.06,0.04,66.6,4.39,9.56,0.48,0.03,0.01,0.02,33.52,5.18,23.96,1.67
0,2349,536.03,32.41,40.01,17.55,9.43,0,0,0,0,0,0.01,0.01,0,0.97,3.43,0.15,0.01,0.01,0.02,5.2,1.83,107.54,0.24
0,2376,376.67,1.39,32.93,19.04,0,0,0,2.61,0,0,0,0,6.96,0.11,1.96,0.18,0.02,0.01,0,0.33,0.11,0.55,0
