feature,score
copper,1
mn,2
vtc,3
vitamine,3
p,4
mg,6
iron,6
thiamine,7
yansuan,7
se,10
vte,11
k,11
riboflavin,12
zinc,13
vta,13
carotene,13
carbohydrate,18
calories,19
protein,21
na,23
fat,25
ca,31
cholesterol,32
